"","order","suborder","greatgroup","series","top","bottom","units","family","subgroup","subgroup_code","class_string","topt","bottomt"
"524","Mollisols","Ustolls","Argiustolls","WILAHA","7","15","inches","Fine-loamy over fragmental, mixed, superactive, mesic Vitritorrandic Argiustolls","vitritorrandic argiustolls","IGEK","Fine-loamy over fragmental, mixed, superactive, mesic",17.78,38.1
"525","Mollisols","Xerolls","Durixerolls","WILLIS","7","18","inches","Coarse-silty, mixed, superactive, mesic Haploduridic Durixerolls","haploduridic durixerolls","IFAH","Coarse-silty, mixed, superactive, mesic",17.78,45.72
"526","Mollisols","Xerolls","Argixerolls","WILT","7","14","inches","Loamy-skeletal, mixed, superactive, frigid Vitrandic Argixerolls","vitrandic argixerolls","IFEH","Loamy-skeletal, mixed, superactive, frigid",17.78,35.56
"527","Mollisols","Xerolls","Haploxerolls","WITZEL","7","20","inches","Loamy-skeletal, mixed, superactive, mesic Lithic Ultic Haploxerolls","lithic ultic haploxerolls","IFFB","Loamy-skeletal, mixed, superactive, mesic",17.78,50.8
"528","Mollisols","Ustolls","Argiustolls","WOLF","7","15","inches","Fine-loamy, mixed, superactive, mesic Aridic Argiustolls","aridic argiustolls","IGER","Fine-loamy, mixed, superactive, mesic",17.78,38.1
"529","Mollisols","Ustolls","Argiustolls","WOLFVAR","7","14","inches","Fine-loamy over sandy or sandy-skeletal, mixed, superactive, mesic Calcidic Argiustolls","calcidic argiustolls","IGEQ","Fine-loamy over sandy or sandy-skeletal, mixed, superactive, mesic",17.78,35.56
"530","Mollisols","Udolls","Calciudolls","WOLVERTON","7","16","inches","Coarse-loamy, mixed, superactive, frigid Aquic Calciudolls","aquic calciudolls","IHBD","Coarse-loamy, mixed, superactive, frigid",17.78,40.64
"531","Mollisols","Aquolls","Endoaquolls","WOODSLAKE","7","9","inches","Very-fine, smectitic, frigid Vertic Endoaquolls","vertic endoaquolls","IBGD","Very-fine, smectitic, frigid",17.78,22.86
"532","Mollisols","Cryolls","Argicryolls","WOOSLEY","7","15","inches","Fine-loamy, mixed, superactive Ustic Argicryolls","ustic argicryolls","IEDL","Fine-loamy, mixed, superactive",17.78,38.1
"533","Mollisols","Aquolls","Argiaquolls","WORTHENTON","7","20","inches","Fine, smectitic, mesic Typic Argiaquolls","typic argiaquolls","IBEE","Fine, smectitic, mesic",17.78,50.8
"534","Mollisols","Ustolls","Natrustolls","WORTMAN","7","15","inches","Fine, smectitic, mesic Aridic Natrustolls","aridic natrustolls","IGBI","Fine, smectitic, mesic",17.78,38.1
"535","Mollisols","Aquolls","Calciaquolls","WYANDOTTE","7","14","inches","Sandy over clayey, mixed over smectitic, frigid Typic Calciaquolls","typic calciaquolls","IBDC","Sandy over clayey, mixed over smectitic, frigid",17.78,35.56
"536","Mollisols","Aquolls","Calciaquolls","WYNDMERE","7","16","inches","Coarse-loamy, mixed, superactive, frigid Aeric Calciaquolls","aeric calciaquolls","IBDB","Coarse-loamy, mixed, superactive, frigid",17.78,40.64
"537","Mollisols","Aquolls","Calciaquolls","WYRENE","7","16","inches","Sandy, mixed, frigid Aeric Calciaquolls","aeric calciaquolls","IBDB","Sandy, mixed, frigid",17.78,40.64
"538","Mollisols","Udolls","Calciudolls","ZELL","7","16","inches","Coarse-silty, mixed, superactive, frigid Typic Calciudolls","typic calciudolls","IHBF","Coarse-silty, mixed, superactive, frigid",17.78,40.64
