"","musym","dmudesc","compname","comppct_r","compkind","drainagecl","slope_h","nirrcapcl","nirrcapscl","nirrcapunit","irrcapcl","irrcapscl","irrcapunit","landform_string","restr_depth","has_textural_B","pscs_clay","surface.rf.high","surface.txclay.high","subclass_prop_crit","subclass_slope_crit","subclass_calc","unit_calc"
"203","8319","MLRA 18 - 2mdck Mollic Haploxeralfs-Pachic Argixerolls-Rock Outcrop cplx, 50 to 90","Pachic Argixerolls",35,"family","well",90,8,NA,NA,8,NA,NA,"canyon",115,TRUE,26.9710144927536,45,20,"6",5,"NA","NA"
"315","851","MLRA 17 - 2xhkd Mckeonhills C, 5 to 15","Amador",1,"series","well",15,7,"e",NA,7,"e",NA,"low hill",38,FALSE,19,15,20,"4a",3,"e","NA"
"316","851","MLRA 17 - 2xhkd Mckeonhills C, 5 to 15","Pentz",1,"series","well",15,7,"e",NA,7,"e",NA,"low hill",31,FALSE,9.875,15,18,"4a",3,"e","NA"
"314","851","MLRA 17 - 2xhkd Mckeonhills C, 5 to 15","Peters",1,"series","well",8,6,"e",NA,6,"e",NA,"low hill",38,FALSE,50,15,60,"4a",2,"e","NA"
"313","851","MLRA 17 - 2xhkd Mckeonhills C, 5 to 15","Aridic Haploxererts",7,"family","well",8,3,"e","1",3,"e","1","low hill",105,FALSE,50.6049382716049,5,65,"2a",2,"e","8"
"312","851","MLRA 17 - 2xhkd Mckeonhills C, 5 to 15","Mckeonhills",90,"series","well",15,3,"e","1",3,"e","1","low hill",99,FALSE,56,5,65,"2a",3,"e","8"
"319","9010","CA6309010","Ultic Haploxeralfs",7,"taxon above family","well",15,4,"e","3",4,"e","3","hill",117,TRUE,26.6090909090909,65,15,"6",3,"s","8"
"19","9010","CA6309010","Typic Xerorthents",8,"taxon above family","well",60,8,NA,NA,8,NA,NA,"hill",124,FALSE,29,15,27,"2a",5,"NA","NA"
"416","9011","CA6309011","Typic Fluvaquents",2,"family","poorly",3,5,"w",NA,5,"w",NA,"flood plain",150,FALSE,3,15,5,"7",2,"w","NA"
"386","9011","CA6309011","Ultic Haploxeralfs",5,"taxon above family","well",15,4,"e","3",4,"e","3","hill",117,TRUE,26.6090909090909,65,15,"6",3,"s","8"
"385","9011","CA6309011","Flanly",18,"series","well",25,6,"e",NA,6,"e",NA,"hill",84,TRUE,27,13,27,"2a",4,"e","NA"
